ph,turbidity,tds,do,temperature,true_class,oracle_class,sample_id
7.597,0.0,361.428,8.423,17.344,POTABLE,POTABLE,86
7.067,3.099,481.2,7.185,25.564,POTABLE,MARGINAL,87
7.53,0.0,228.821,9.059,28.159,POTABLE,POTABLE,88
1.524,84.596,521.037,2.886,19.812,NON_POTABLE,NON_POTABLE,89
6.862,82.513,1012.776,2.104,29.628,NON_POTABLE,NON_POTABLE,90
2.918,25.29,1480.329,0.0,23.92,NON_POTABLE,NON_POTABLE,91
6.727,0.0,246.235,7.134,18.945,POTABLE,POTABLE,92
6.801,0.0,365.039,7.584,20.581,POTABLE,POTABLE,93
6.637,0.0,377.724,8.354,25.176,POTABLE,POTABLE,94
7.551,0.0,110.974,9.948,21.838,POTABLE,POTABLE,95
3.451,67.008,1307.861,0.246,24.215,NON_POTABLE,NON_POTABLE,96
8.302,0.143,408.461,4.746,24.447,MARGINAL,MARGINAL,97
6.963,0.0,350.235,5.991,23.522,MARGINAL,MARGINAL,98
7.002,0.435,393.825,7.947,20.866,POTABLE,POTABLE,99
7.288,0.0,259.286,8.869,24.13,POTABLE,POTABLE,100
7.972,0.0,372.461,8.699,24.378,POTABLE,POTABLE,101
6.995,0.0,392.032,8.468,28.647,POTABLE,POTABLE,102
6.363,1.236,769.12,7.113,24.937,MARGINAL,MARGINAL,103
7.894,35.881,1052.922,4.176,34.9,NON_POTABLE,NON_POTABLE,104
7.226,2.488,487.316,7.62,23.535,POTABLE,MARGINAL,105
7.56,0.0,303.726,8.086,21.197,POTABLE,POTABLE,106
7.323,0.773,237.889,7.617,20.961,POTABLE,POTABLE,107
6.905,3.779,389.687,7.53,20.965,POTABLE,MARGINAL,108
2.544,51.44,1000.086,1.05,20.392,NON_POTABLE,NON_POTABLE,109
7.854,3.596,171.252,9.324,25.837,POTABLE,MARGINAL,110
7.126,0.0,340.854,8.603,19.656,POTABLE,POTABLE,111
6.502,1.646,235.014,7.867,21.326,POTABLE,MARGINAL,112
5.866,45.875,715.656,3.106,17.304,NON_POTABLE,NON_POTABLE,113
6.896,3.234,164.875,7.471,22.272,POTABLE,MARGINAL,114
8.415,7.793,673.547,3.823,32.198,MARGINAL,MARGINAL,115
6.487,8.639,727.114,5.37,29.662,MARGINAL,MARGINAL,116
7.7,5.693,527.158,6.799,30.437,MARGINAL,MARGINAL,117
8.039,2.429,645.675,7.018,26.405,MARGINAL,MARGINAL,118
6.872,0.0,547.666,7.698,24.712,POTABLE,MARGINAL,119
8.068,8.784,512.059,7.447,28.664,MARGINAL,MARGINAL,120
6.185,0.0,424.009,7.238,21.414,POTABLE,MARGINAL,121
6.281,1.353,228.181,8.026,24.763,POTABLE,MARGINAL,122
3.941,42.04,707.22,4.191,28.989,NON_POTABLE,NON_POTABLE,123
7.647,3.2,403.302,7.944,22.393,POTABLE,MARGINAL,124
7.473,0.0,760.727,6.377,24.278,MARGINAL,MARGINAL,125
3.822,29.015,1297.684,1.978,30.278,NON_POTABLE,NON_POTABLE,126
7.424,10.792,399.898,5.693,25.033,MARGINAL,MARGINAL,127
0.95,31.996,478.573,2.019,21.081,NON_POTABLE,NON_POTABLE,128
6.518,13.093,579.947,5.333,22.99,MARGINAL,MARGINAL,129
6.689,8.372,537.916,7.462,21.558,MARGINAL,MARGINAL,130
7.619,71.285,494.007,0.739,21.944,NON_POTABLE,NON_POTABLE,131
8.077,12.113,293.925,6.527,27.492,MARGINAL,MARGINAL,132
6.929,0.0,375.366,11.387,18.33,POTABLE,POTABLE,133
6.956,0.702,278.452,9.291,26.003,POTABLE,POTABLE,134
6.348,93.588,1206.725,1.417,30.442,NON_POTABLE,NON_POTABLE,135
6.895,50.49,878.527,2.287,22.982,NON_POTABLE,NON_POTABLE,136
5.674,86.396,890.93,2.147,33.351,NON_POTABLE,NON_POTABLE,137
6.318,9.667,495.047,6.187,20.878,MARGINAL,MARGINAL,138
6.657,0.897,285.143,8.985,25.267,POTABLE,POTABLE,139
6.548,2.55,307.481,7.703,27.26,POTABLE,MARGINAL,140
7.823,3.404,541.614,3.732,27.848,MARGINAL,MARGINAL,141
2.206,60.623,653.874,1.214,32.155,NON_POTABLE,NON_POTABLE,142
5.067,52.653,590.764,3.074,38.731,NON_POTABLE,NON_POTABLE,143
5.975,39.038,940.065,1.061,28.061,NON_POTABLE,NON_POTABLE,144
3.967,11.323,710.68,2.661,37.623,NON_POTABLE,NON_POTABLE,145
6.602,5.629,639.219,2.556,22.445,MARGINAL,MARGINAL,146
7.83,6.833,552.624,6.343,26.835,MARGINAL,MARGINAL,147
8.033,3.781,597.969,7.165,18.58,MARGINAL,MARGINAL,148
7.513,2.885,486.008,5.159,27.28,MARGINAL,MARGINAL,149
7.634,6.435,428.786,3.812,21.537,MARGINAL,MARGINAL,150
7.626,3.825,196.848,8.373,24.021,POTABLE,MARGINAL,151
4.957,72.211,827.515,1.724,22.708,NON_POTABLE,NON_POTABLE,152
0.0,62.148,583.228,0.193,29.622,NON_POTABLE,NON_POTABLE,153
4.801,47.2,1285.694,1.438,30.26,NON_POTABLE,NON_POTABLE,154
6.871,1.374,127.625,10.166,27.938,POTABLE,MARGINAL,155
7.123,0.0,216.572,9.613,23.181,POTABLE,POTABLE,156
6.977,1.621,460.921,5.821,29.697,MARGINAL,MARGINAL,157
7.492,16.733,528.489,6.504,33.689,MARGINAL,MARGINAL,158
6.543,17.619,638.252,6.67,25.411,MARGINAL,MARGINAL,159
7.775,0.0,330.658,8.323,27.747,POTABLE,POTABLE,160
7.167,4.133,410.108,5.252,19.818,MARGINAL,MARGINAL,161
7.49,9.186,336.612,6.883,19.085,MARGINAL,MARGINAL,162
7.421,0.959,275.46,8.491,21.585,POTABLE,POTABLE,163
7.656,0.0,222.686,7.157,24.567,POTABLE,POTABLE,164
6.569,0.0,306.253,10.392,23.709,POTABLE,POTABLE,165
7.815,3.835,509.403,6.204,20.968,MARGINAL,MARGINAL,166
6.967,0.0,338.971,7.369,27.438,POTABLE,POTABLE,167
7.306,3.048,145.634,9.743,27.338,POTABLE,MARGINAL,168
7.42,4.674,388.364,3.746,25.92,MARGINAL,MARGINAL,169
7.006,14.212,464.414,8.079,27.949,MARGINAL,MARGINAL,170
6.216,17.397,588.409,6.247,23.152,MARGINAL,MARGINAL,171
7.317,0.0,243.443,8.175,20.105,POTABLE,POTABLE,172
5.844,0.178,446.043,7.008,26.099,MARGINAL,MARGINAL,173
7.058,2.333,597.703,5.119,21.424,MARGINAL,MARGINAL,174
7.62,0.0,169.239,8.418,28.807,POTABLE,POTABLE,175
7.897,5.158,679.266,6.903,25.071,MARGINAL,MARGINAL,176
2.818,47.687,936.463,0.295,24.735,NON_POTABLE,NON_POTABLE,177
6.953,5.368,516.831,4.356,23.356,MARGINAL,MARGINAL,178
7.024,0.0,278.677,8.002,23.373,POTABLE,POTABLE,179
5.987,0.0,243.222,9.298,18.422,POTABLE,MARGINAL,180
5.502,60.497,1032.323,2.018,26.095,NON_POTABLE,NON_POTABLE,181
8.051,5.874,461.483,3.325,26.827,MARGINAL,MARGINAL,182
7.233,1.266,245.94,7.434,23.508,POTABLE,MARGINAL,183
7.928,0.0,407.529,9.776,26.346,POTABLE,POTABLE,184
8.046,0.0,518.421,5.552,25.965,MARGINAL,MARGINAL,185
8.131,5.121,595.318,3.79,29.001,MARGINAL,MARGINAL,186
7.003,13.36,450.1,3.519,28.063,MARGINAL,MARGINAL,187
8.485,15.375,594.016,5.744,18.276,MARGINAL,MARGINAL,188
6.846,2.604,342.965,7.86,20.255,POTABLE,MARGINAL,189
7.487,2.159,334.153,8.689,25.578,POTABLE,MARGINAL,190
6.602,0.0,185.638,5.647,23.177,POTABLE,MARGINAL,191
5.111,41.268,981.362,0.077,32.567,NON_POTABLE,NON_POTABLE,192
8.269,58.377,874.628,0.0,28.956,NON_POTABLE,NON_POTABLE,193
5.848,21.644,1089.246,2.939,33.003,NON_POTABLE,NON_POTABLE,194
6.749,14.728,573.122,6.829,20.916,MARGINAL,MARGINAL,195
5.968,1.176,341.274,8.52,26.543,POTABLE,MARGINAL,196
7.948,7.493,454.476,10.7,24.987,POTABLE,MARGINAL,197
9.125,14.809,622.808,7.22,17.412,MARGINAL,NON_POTABLE,198
7.957,56.746,783.666,1.901,27.287,NON_POTABLE,NON_POTABLE,199
6.003,2.498,466.185,0.528,22.903,NON_POTABLE,NON_POTABLE,200
7.456,32.596,790.937,3.979,33.681,NON_POTABLE,MARGINAL,201
6.538,0.446,389.666,7.854,19.42,POTABLE,POTABLE,202
7.733,8.6,443.97,8.176,34.828,MARGINAL,MARGINAL,203
5.993,40.783,509.347,0.0,31.28,NON_POTABLE,NON_POTABLE,204
8.658,8.109,517.895,6.769,25.178,MARGINAL,MARGINAL,205
8.343,5.728,341.115,6.419,24.71,MARGINAL,MARGINAL,206
6.784,2.159,518.356,4.779,23.723,MARGINAL,MARGINAL,207
6.578,5.315,661.249,4.177,24.731,MARGINAL,MARGINAL,208
5.164,32.149,1279.087,3.005,36.769,NON_POTABLE,NON_POTABLE,209
7.924,0.054,362.421,10.551,25.816,POTABLE,POTABLE,210
7.476,4.172,475.771,4.433,31.303,MARGINAL,MARGINAL,211
7.632,0.0,497.971,6.078,26.454,POTABLE,MARGINAL,212
7.813,0.0,424.787,5.128,32.423,MARGINAL,MARGINAL,213
6.464,7.06,578.593,4.886,25.315,MARGINAL,MARGINAL,214
2.075,53.899,821.754,2.38,26.141,NON_POTABLE,NON_POTABLE,215
8.471,11.992,568.758,4.037,23.402,MARGINAL,MARGINAL,216
1.042,33.149,1338.173,0.316,34.175,NON_POTABLE,NON_POTABLE,217
6.669,0.0,410.894,7.482,24.393,POTABLE,POTABLE,218
4.435,15.331,1049.051,3.201,22.047,NON_POTABLE,NON_POTABLE,219
7.242,0.961,373.787,9.112,22.997,POTABLE,POTABLE,220
7.844,4.344,216.106,10.878,28.795,POTABLE,MARGINAL,221
8.384,5.734,357.744,7.421,25.87,POTABLE,MARGINAL,222
11.617,73.282,853.609,1.584,28.821,NON_POTABLE,NON_POTABLE,223
6.2,10.048,377.008,8.046,19.935,MARGINAL,MARGINAL,224
7.732,8.538,301.882,9.631,27.683,POTABLE,MARGINAL,225
5.981,19.132,709.069,4.597,29.257,MARGINAL,MARGINAL,226
7.993,6.632,607.726,4.168,29.386,MARGINAL,MARGINAL,227
6.412,7.926,498.341,3.708,32.796,MARGINAL,MARGINAL,228
6.471,6.015,415.895,9.256,25.93,POTABLE,MARGINAL,229
8.082,4.833,430.053,6.174,30.069,MARGINAL,MARGINAL,230
7.446,4.982,288.346,7.967,20.915,POTABLE,MARGINAL,231
7.823,46.885,692.461,2.768,29.312,NON_POTABLE,NON_POTABLE,232
6.56,2.626,209.243,8.503,18.458,POTABLE,MARGINAL,233
4.037,41.304,964.167,3.87,20.582,NON_POTABLE,NON_POTABLE,234
6.999,1.197,639.946,8.997,26.935,POTABLE,MARGINAL,235
7.734,24.572,462.727,4.336,20.914,MARGINAL,MARGINAL,236
7.776,8.969,531.319,7.933,30.697,MARGINAL,MARGINAL,237
7.063,3.816,369.009,8.948,29.206,POTABLE,MARGINAL,238
9.202,0.0,418.282,3.817,26.623,MARGINAL,NON_POTABLE,239
4.462,71.546,1007.067,1.833,23.645,NON_POTABLE,NON_POTABLE,240
7.093,0.928,261.057,8.993,25.377,POTABLE,POTABLE,241
6.941,0.0,312.328,8.924,24.349,POTABLE,POTABLE,242
8.627,86.408,1080.039,1.535,21.322,NON_POTABLE,NON_POTABLE,243
6.202,91.873,1004.686,0.0,17.796,NON_POTABLE,NON_POTABLE,244
7.386,0.0,287.628,9.677,21.558,POTABLE,POTABLE,245
6.811,2.033,345.445,10.917,19.853,POTABLE,MARGINAL,246
7.766,2.276,545.439,4.416,30.559,MARGINAL,MARGINAL,247
7.21,6.789,122.08,8.866,18.448,POTABLE,MARGINAL,248
5.884,0.0,460.637,8.384,26.422,POTABLE,MARGINAL,249
6.398,29.372,600.286,0.0,25.101,NON_POTABLE,NON_POTABLE,250
3.16,50.078,843.974,1.513,27.846,NON_POTABLE,NON_POTABLE,251
0.328,36.596,996.621,1.501,16.982,NON_POTABLE,NON_POTABLE,252
8.061,0.1,165.125,6.981,24.395,POTABLE,POTABLE,253
6.993,2.232,176.17,8.503,26.153,POTABLE,MARGINAL,254
8.114,9.282,553.169,3.778,19.17,MARGINAL,MARGINAL,255
7.577,2.256,401.405,8.842,27.214,POTABLE,MARGINAL,256
7.699,7.685,563.979,4.319,26.584,MARGINAL,MARGINAL,257
7.416,12.528,447.111,4.788,26.362,MARGINAL,MARGINAL,258
7.279,0.029,336.228,7.594,22.03,POTABLE,POTABLE,259
7.871,1.462,266.246,9.155,27.643,POTABLE,MARGINAL,260
7.402,0.0,214.785,10.253,19.952,POTABLE,POTABLE,261
6.873,4.062,496.542,4.728,23.499,MARGINAL,MARGINAL,262
6.101,8.683,355.649,4.212,25.214,MARGINAL,MARGINAL,263
2.118,75.761,1060.751,0.0,31.855,NON_POTABLE,NON_POTABLE,264
5.786,0.0,368.817,8.275,21.38,POTABLE,MARGINAL,265
7.187,0.0,266.866,8.099,21.635,POTABLE,POTABLE,266
7.32,7.475,265.735,6.083,30.902,MARGINAL,MARGINAL,267
5.519,20.778,560.207,7.582,29.289,MARGINAL,MARGINAL,268
6.168,9.91,588.079,4.923,29.677,MARGINAL,MARGINAL,269
7.931,0.928,564.485,11.287,27.961,POTABLE,MARGINAL,270
7.255,5.721,126.213,10.805,28.008,POTABLE,MARGINAL,271
7.827,4.672,349.545,10.512,25.565,POTABLE,MARGINAL,272
6.222,0.0,918.437,1.081,29.322,NON_POTABLE,NON_POTABLE,273
6.945,0.0,477.256,7.17,23.544,POTABLE,POTABLE,274
7.389,0.0,271.208,8.795,29.985,POTABLE,POTABLE,275
8.502,2.31,517.466,6.379,24.436,MARGINAL,MARGINAL,276
6.129,1.407,368.156,10.611,22.303,POTABLE,MARGINAL,277
7.502,7.843,522.573,5.613,33.665,MARGINAL,MARGINAL,278
7.981,6.09,283.905,5.243,29.827,MARGINAL,MARGINAL,279
6.811,0.0,404.134,9.863,26.651,POTABLE,POTABLE,280
10.738,73.06,906.713,2.12,23.262,NON_POTABLE,NON_POTABLE,281
6.886,43.798,1500.0,2.352,22.413,NON_POTABLE,NON_POTABLE,282
6.575,0.0,277.471,8.318,22.352,POTABLE,POTABLE,283
7.807,0.0,315.156,10.577,27.138,POTABLE,POTABLE,284
7.583,3.318,273.511,8.713,24.984,POTABLE,MARGINAL,285
5.276,59.56,982.845,2.098,31.302,NON_POTABLE,NON_POTABLE,286
6.114,3.877,313.835,9.57,23.843,POTABLE,MARGINAL,287
7.284,17.978,526.642,3.832,36.235,MARGINAL,MARGINAL,288
6.386,4.364,430.744,8.977,23.617,POTABLE,MARGINAL,289
7.188,1.758,416.499,7.232,21.731,POTABLE,MARGINAL,290
7.425,1.405,202.321,9.337,29.992,POTABLE,MARGINAL,291
6.945,11.655,498.504,7.969,26.796,MARGINAL,MARGINAL,292
9.155,12.231,434.01,5.769,23.175,MARGINAL,NON_POTABLE,293
7.831,8.092,489.266,5.497,20.668,MARGINAL,MARGINAL,294
7.511,8.414,786.857,8.346,26.659,MARGINAL,MARGINAL,295
6.449,0.048,387.896,7.287,22.072,POTABLE,MARGINAL,296
5.913,10.82,391.811,7.086,30.752,MARGINAL,MARGINAL,297
7.033,0.0,508.163,5.527,18.312,MARGINAL,MARGINAL,298
3.841,97.629,853.971,2.261,31.664,NON_POTABLE,NON_POTABLE,299
7.525,4.649,405.097,8.115,27.231,POTABLE,MARGINAL,300
7.292,2.031,237.551,7.474,21.271,POTABLE,MARGINAL,301
7.086,1.835,326.423,11.599,26.336,POTABLE,MARGINAL,302
7.367,5.673,659.301,3.685,21.05,MARGINAL,MARGINAL,303
6.795,0.0,354.676,9.571,28.944,POTABLE,POTABLE,304
5.978,6.334,387.263,6.611,29.665,MARGINAL,MARGINAL,305
2.796,70.392,731.091,2.379,28.062,NON_POTABLE,NON_POTABLE,306
4.077,56.52,1075.616,3.791,19.57,NON_POTABLE,NON_POTABLE,307
5.676,11.61,478.619,5.026,25.713,MARGINAL,MARGINAL,308
7.019,0.0,275.958,7.163,24.596,POTABLE,POTABLE,309
6.405,0.0,333.779,8.645,20.65,POTABLE,MARGINAL,310
7.391,9.206,621.926,5.159,32.142,MARGINAL,MARGINAL,311
8.323,2.165,691.52,4.72,30.193,MARGINAL,MARGINAL,312
6.213,0.627,519.887,5.528,25.159,MARGINAL,MARGINAL,313
3.532,80.917,641.316,0.212,34.831,NON_POTABLE,NON_POTABLE,314
7.261,0.0,333.813,8.407,25.083,POTABLE,POTABLE,315
7.608,6.902,220.507,6.132,25.357,POTABLE,MARGINAL,316
6.615,0.0,400.339,7.616,26.129,POTABLE,POTABLE,317
6.981,5.589,538.811,4.109,22.869,MARGINAL,MARGINAL,318
5.261,39.269,581.848,0.0,37.219,NON_POTABLE,NON_POTABLE,319
6.414,6.599,556.204,5.611,24.443,MARGINAL,MARGINAL,320
0.584,70.86,978.709,2.711,33.378,NON_POTABLE,NON_POTABLE,321
8.92,78.349,941.517,3.005,25.311,NON_POTABLE,NON_POTABLE,322
7.83,15.381,764.37,5.794,30.629,MARGINAL,MARGINAL,323
5.57,6.616,573.868,4.236,22.871,MARGINAL,MARGINAL,324
7.256,0.0,312.444,8.055,25.891,POTABLE,POTABLE,325
6.619,0.0,361.223,9.0,27.064,POTABLE,POTABLE,326
6.888,3.214,511.472,9.304,20.942,MARGINAL,MARGINAL,327
7.453,0.0,147.873,9.221,22.949,POTABLE,POTABLE,328
3.893,24.896,1229.315,0.0,40.564,NON_POTABLE,NON_POTABLE,329
11.177,33.632,775.321,0.698,23.187,NON_POTABLE,NON_POTABLE,330
5.326,8.674,554.076,1.795,27.343,NON_POTABLE,NON_POTABLE,331
7.955,1.687,49.726,8.831,22.821,POTABLE,MARGINAL,332
0.0,63.868,777.49,2.228,25.689,NON_POTABLE,NON_POTABLE,333
6.598,0.0,176.475,8.684,29.782,POTABLE,POTABLE,334
7.571,1.259,543.621,9.94,24.18,POTABLE,MARGINAL,335
6.996,0.0,380.493,8.856,25.199,POTABLE,POTABLE,336
6.177,0.0,287.192,8.406,23.062,POTABLE,MARGINAL,337
6.88,2.447,248.351,9.205,25.075,POTABLE,MARGINAL,338
2.813,79.259,996.934,2.87,25.932,NON_POTABLE,NON_POTABLE,339
6.533,0.0,191.784,7.857,28.425,POTABLE,POTABLE,340
6.852,47.695,1407.55,1.793,28.271,NON_POTABLE,NON_POTABLE,341
5.984,81.153,1254.172,3.791,25.299,NON_POTABLE,NON_POTABLE,342
6.536,0.951,373.751,9.898,19.929,POTABLE,POTABLE,343
8.032,1.978,642.422,8.232,24.417,MARGINAL,MARGINAL,344
7.522,0.0,422.736,2.323,25.975,MARGINAL,NON_POTABLE,345
6.702,15.192,466.485,6.781,28.758,MARGINAL,MARGINAL,346
1.857,21.658,1129.263,1.341,35.782,NON_POTABLE,NON_POTABLE,347
8.103,10.615,581.536,6.922,36.581,MARGINAL,MARGINAL,348
7.676,4.983,507.547,5.953,23.969,MARGINAL,MARGINAL,349
7.593,4.224,491.189,7.715,25.369,MARGINAL,MARGINAL,350
8.444,10.714,561.692,3.821,27.943,MARGINAL,MARGINAL,351
5.596,95.472,1500.0,3.955,27.468,NON_POTABLE,NON_POTABLE,352
6.485,0.06,433.565,9.131,24.761,POTABLE,MARGINAL,353
6.856,1.361,202.059,7.406,24.536,POTABLE,MARGINAL,354
4.43,78.204,489.857,1.185,24.063,NON_POTABLE,NON_POTABLE,355
8.365,0.0,433.901,9.284,28.473,POTABLE,POTABLE,356
6.032,3.626,468.33,6.349,23.965,MARGINAL,MARGINAL,357
7.2,0.772,208.061,8.786,24.7,POTABLE,POTABLE,358
7.555,0.0,215.724,8.122,23.962,POTABLE,POTABLE,359
7.029,1.9,468.557,8.144,21.686,POTABLE,MARGINAL,360
6.855,4.133,206.055,10.621,24.843,POTABLE,MARGINAL,361
7.014,4.447,341.2,7.588,29.181,POTABLE,MARGINAL,362
7.34,17.978,372.782,5.494,26.029,MARGINAL,MARGINAL,363
7.151,0.117,387.687,3.25,27.369,MARGINAL,MARGINAL,364
7.405,0.0,242.726,8.106,27.951,POTABLE,POTABLE,365
8.137,0.0,497.782,4.952,26.358,MARGINAL,MARGINAL,366
6.701,0.0,238.593,9.274,22.876,POTABLE,POTABLE,367
7.047,0.0,371.938,7.521,19.857,POTABLE,POTABLE,368
6.89,0.466,305.648,8.366,21.879,POTABLE,POTABLE,369
0.209,51.149,928.918,4.782,21.867,NON_POTABLE,NON_POTABLE,370
6.857,52.765,671.479,1.809,23.322,NON_POTABLE,NON_POTABLE,371
7.508,3.48,435.358,4.855,25.011,MARGINAL,MARGINAL,372
7.369,1.013,294.352,7.471,22.524,POTABLE,MARGINAL,373
5.897,8.432,536.043,5.827,23.444,MARGINAL,MARGINAL,374
6.801,10.429,634.671,5.368,23.289,MARGINAL,MARGINAL,375
3.356,77.487,953.923,1.517,24.759,NON_POTABLE,NON_POTABLE,376
9.386,4.526,464.5,4.81,25.762,MARGINAL,NON_POTABLE,377
6.273,0.0,519.483,6.784,30.197,POTABLE,MARGINAL,378
6.116,0.0,318.103,7.445,27.928,POTABLE,MARGINAL,379
5.926,71.137,1066.239,1.19,22.818,NON_POTABLE,NON_POTABLE,380
6.445,34.337,501.941,0.502,22.571,NON_POTABLE,NON_POTABLE,381
7.215,52.272,1110.112,2.331,35.488,NON_POTABLE,NON_POTABLE,382
